model,accuracy,precision,recall,f1_score,roc_auc,cv_f1_mean,cv_f1_std
Gradient Boosting,0.819672131147541,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.8787878787878788,0.8311640012385663,0.0422209584600664
Random Forest,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.9042207792207791,0.8358697409279161,0.032751424507261366
SVM,0.8032786885245902,0.8,0.8484848484848485,0.8235294117647058,0.8825757575757576,0.8281773332301501,0.049086186930593786
Logistic Regression,0.7868852459016393,0.7631578947368421,0.8787878787878788,0.8169014084507042,0.8712121212121212,0.8495669748173953,0.04153618442128077
